region,year,crop,value
BRA,2005,FRS,450596.4732184229
BRA,2005,GL,104148.23095644021
BRA,2005,CL,70892.92434259466
BRA,2005,CROP_FLW,12853.926132960636
BRA,2005,PAS,193931.32470751664
BRA,2005,SL,1914.7287491497116
BRA,2005,OL,33733.17043599208
BRA,2005,PRMFRS,423742.6944055049
BRA,2005,SECFRS,26853.778812918295
BRA,2005,MNGFRS,152613.6829412909
BRA,2005,UMNFRS,297982.79027713207
BRA,2005,NRMFRS,450596.4732184229
BRA,2005,AGOFRS,39126.98277375677
BRA,2005,PRMGL,102365.6734574838
BRA,2005,SECGL,1782.557498956354
BRA,2005,MNGPAS,64927.31355275632
BRA,2005,RAN,129004.01115476021
BRA,2005,PDRIR,1148.633878152783
BRA,2005,WHTIR,8.838870282189138
BRA,2005,GROIR,171.76715418654996
BRA,2005,OSDIR,208.745897008987
BRA,2005,C_BIR,563.450028272639
BRA,2005,OTH_AIR,917.2642589239471
BRA,2005,PDRRF,3159.070552047139
BRA,2005,WHTRF,2693.5551291553775
BRA,2005,GRORF,16934.97529526822
BRA,2005,OSDRF,28374.333002682946
BRA,2005,C_BRF,6184.683417391782
BRA,2005,OTH_ARF,10527.606859222025
BRA,2005,CLDEGS,2543.4873377327553
BRA,2010,FRS,447593.0929256674
BRA,2010,GL,104307.92149746364
BRA,2010,CL,74166.52467795176
BRA,2010,CROP_FLW,12428.635070684211
BRA,2010,PAS,193926.70641111946
BRA,2010,SL,1914.728365416055
BRA,2010,OL,33733.170912451336
BRA,2010,PRMFRS,421988.16149443004
BRA,2010,SECFRS,25604.93143123808
BRA,2010,MNGFRS,150487.46131965882
BRA,2010,UMNFRS,297105.63160600926
BRA,2010,NRMFRS,447593.09552629525
BRA,2010,AGOFRS,38520.786872947865
BRA,2010,PRMGL,102105.43820014421
BRA,2010,SECGL,2202.4832973193807
BRA,2010,MNGPAS,64927.40961378188
BRA,2010,RAN,128999.29679733736
BRA,2010,PDRIR,1112.5659124865176
BRA,2010,WHTIR,5.989582732156947
BRA,2010,GROIR,171.74700840132417
BRA,2010,OSDIR,208.7284879663837
BRA,2010,C_BIR,563.318685499347
BRA,2010,OTH_AIR,896.3863042539407
BRA,2010,PDRRF,1922.0296192252188
BRA,2010,WHTRF,2526.326248063248
BRA,2010,GRORF,17753.377393621464
BRA,2010,OSDRF,28562.35414534722
BRA,2010,C_BRF,10023.280294659193
BRA,2010,OTH_ARF,10420.40683543135
BRA,2010,CLDEGS,2611.1356314296863
BRA,2010,NRFABD,778.1548766293391
BRA,2010,NRGABD,533.5498987520403
BRA,2010,DEF,3781.5325687564036
BRA,2010,DEG,373.8615502509626
BRA,2010,NRFABDCUM,778.1608484557628
BRA,2010,NRGABDCUM,533.5518521945663
BRA,2015,FRS,447810.16086406173
BRA,2015,GL,104360.62210855079
BRA,2015,CL,76425.3802611813
BRA,2015,CROP_FLW,11825.859948963263
BRA,2015,PAS,193915.58251903628
BRA,2015,OL,33733.17301743098
BRA,2015,PRMFRS,420816.4351878125
BRA,2015,SECFRS,26993.725676247323
BRA,2015,MNGFRS,151130.32446641737
BRA,2015,UMNFRS,296679.836397643
BRA,2015,NRMFRS,447810.15549856395
BRA,2015,AGOFRS,38256.59737744688
BRA,2015,PRMGL,101678.15698753673
BRA,2015,SECGL,2682.46512101401
BRA,2015,MNGPAS,64926.985168998115
BRA,2015,RAN,128988.59735003847
BRA,2015,PDRIR,1051.1672979317689
BRA,2015,WHTIR,5.9302625803255475
BRA,2015,GROIR,171.74672663181735
BRA,2015,OSDIR,208.72820619687693
BRA,2015,C_BIR,558.7346255193612
BRA,2015,OTH_AIR,356.8630541135632
BRA,2015,PDRRF,1040.2498106927974
BRA,2015,WHTRF,2510.002795540967
BRA,2015,GRORF,18162.901425264616
BRA,2015,OSDRF,34002.4330447815
BRA,2015,C_BRF,9781.12889861407
BRA,2015,OTH_ARF,8575.491025110941
BRA,2015,CLDEGS,2668.336531519578
BRA,2015,NRFABD,2442.5993583658674
BRA,2015,NRGABD,871.8968273240604
BRA,2015,DEF,2225.536785471063
BRA,2015,DEG,819.196320991265
BRA,2015,NRFABDCUM,2909.9648362325743
BRA,2015,NRGABDCUM,1336.6650316100224
BRA,2020,FRS,435001.48258632846
BRA,2020,GL,97414.72328101109
BRA,2020,CL,74372.82236703638
BRA,2020,CROP_FLW,10825.209010072967
BRA,2020,PAS,214615.70806555566
BRA,2020,SL,2107.6609035066053
BRA,2020,OL,33733.17300637998
BRA,2020,PRMFRS,413880.95378530485
BRA,2020,SECFRS,21120.528801024244
BRA,2020,MNGFRS,138383.0132255588
BRA,2020,UMNFRS,296618.4693607707
BRA,2020,NRMFRS,435001.46406620933
BRA,2020,AGOFRS,37444.262901956376
BRA,2020,PRMGL,96756.90860613227
BRA,2020,SECGL,657.8146748787071
BRA,2020,MNGPAS,85627.11127221925
BRA,2020,RAN,128988.59679333578
BRA,2020,PDRIR,1051.0727522119605
BRA,2020,WHTIR,4.1849159540900365
BRA,2020,GROIR,155.9070293822338
BRA,2020,OSDIR,208.17397647475602
BRA,2020,C_BIR,557.5699907189627
BRA,2020,OTH_AIR,323.00201011136573
BRA,2020,PDRRF,1103.4351097902486
BRA,2020,WHTRF,2314.7235306444654
BRA,2020,GRORF,17204.52185757409
BRA,2020,OSDRF,33597.82169613938
BRA,2020,C_BRF,9789.365167950735
BRA,2020,OTH_ARF,8063.044814630913
BRA,2020,CLDEGS,2611.269163316413
BRA,2020,NRFABD,147.59736242856115
BRA,2020,NRGABD,44.26898593938878
BRA,2020,DEF,12956.29416027857
BRA,2020,DEG,6990.171732857428
BRA,2020,NRFABDCUM,1136.0795298289981
BRA,2020,NRGABDCUM,364.3272922706387
BRA,2025,FRS,429986.6384313968
BRA,2025,GL,94219.67571194346
BRA,2025,CL,75664.74865638939
BRA,2025,CROP_FLW,10644.94065449283
BRA,2025,PAS,223821.60166111923
BRA,2025,OL,33733.17388141597
BRA,2025,PRMFRS,409343.1429303955
BRA,2025,SECFRS,20643.49550100116
BRA,2025,MNGFRS,133834.7429017358
BRA,2025,UMNFRS,296151.89552966086
BRA,2025,NRMFRS,429986.6388534043
BRA,2025,AGOFRS,37308.83226462829
BRA,2025,PRMGL,93580.15162436488
BRA,2025,SECGL,639.5240875785778
BRA,2025,MNGPAS,94881.20163648923
BRA,2025,RAN,128940.40002462963
BRA,2025,PDRIR,1050.9604398858949
BRA,2025,WHTIR,4.177793449695236
BRA,2025,GROIR,155.63034866848147
BRA,2025,OSDIR,208.03994027477836
BRA,2025,C_BIR,555.6936678770929
BRA,2025,OTH_AIR,321.4796754825858
BRA,2025,PDRRF,1222.416394961564
BRA,2025,WHTRF,2316.4204197636204
BRA,2025,GRORF,17808.619876059627
BRA,2025,OSDRF,34208.497372005324
BRA,2025,C_BRF,9998.402582026756
BRA,2025,OTH_ARF,7814.412072657837
BRA,2025,CLDEGS,2624.0589118175767
BRA,2025,NRFABD,918.3134000855886
BRA,2025,NRGABD,187.10431861728145
BRA,2025,DEF,5933.157133010257
BRA,2025,DEG,3382.1508944219986
BRA,2025,NRFABDCUM,1399.0567169086146
BRA,2025,NRGABDCUM,421.48958276617924
