G,Rall,Value
8925,XLM,1.0
8925,GRL,1.0
8925,GRL_AOIS,1.0
8927,XLM,1.0
8927,GRL,1.0
8927,GRL_AOIS,1.0
8928,XLM,1.0
8928,GRL,1.0
8928,GRL_AOIS,1.0
8929,XLM,1.0
8929,GRL,1.0
8929,GRL_AOIS,1.0
8930,XLM,1.0
8930,GRL,1.0
8930,GRL_AOIS,1.0
8931,XLM,1.0
8931,GRL,1.0
8931,GRL_AOIS,1.0
8932,XLM,1.0
8932,GRL,1.0
8932,GRL_AOIS,1.0
8933,XLM,1.0
8933,GRL,1.0
8933,GRL_AOIS,1.0
8934,XLM,1.0
8934,GRL,1.0
8934,GRL_AOIS,1.0
8935,XLM,1.0
8935,GRL,1.0
8935,GRL_AOIS,1.0
8936,XLM,1.0
8936,GRL,1.0
8936,GRL_AOIS,1.0
8937,XLM,1.0
8937,GRL,1.0
8937,GRL_AOIS,1.0
8938,XLM,1.0
8938,GRL,1.0
8938,GRL_AOIS,1.0
8939,XLM,1.0
8939,GRL,1.0
8939,GRL_AOIS,1.0
8940,XLM,1.0
8940,GRL,1.0
8940,GRL_AOIS,1.0
8941,XLM,1.0
8941,GRL,1.0
8941,GRL_AOIS,1.0
8942,XLM,1.0
8942,GRL,1.0
8942,GRL_AOIS,1.0
8943,XLM,1.0
8943,GRL,1.0
8943,GRL_AOIS,1.0
9566,CAN,1.0
9566,CAN_NWTT,1.0
9567,CAN,1.0
9567,CAN_NWTT,1.0
9568,CAN,1.0
9568,CAN_NWTT,1.0
9569,CAN,1.0
9569,CAN_NWTT,1.0
9570,CAN,1.0
9570,CAN_NWTT,1.0
9571,CAN,1.0
9571,CAN_NWTT,1.0
9572,CAN,1.0
9572,CAN_NWTT,1.0
9574,CAN,1.0
9574,CAN_NWTT,1.0
9575,CAN,1.0
9575,CAN_NWTT,1.0
9576,CAN,1.0
9576,CAN_NWTT,1.0
9577,CAN,1.0
9577,CAN_NWTT,1.0
9578,CAN,1.0
9578,CAN_NWTT,1.0
9579,CAN,1.0
9579,CAN_NWTT,1.0
9580,CAN,1.0
9580,CAN_NWTT,1.0
9581,CAN,1.0
9581,CAN_NWTT,1.0
9582,CAN,1.0
9582,CAN_NWTT,1.0
9583,CAN,1.0
9583,CAN_NWTT,1.0
9584,CAN,1.0
9584,CAN_NWTT,1.0
9627,XLM,1.0
9627,GRL,1.0
9627,GRL_AOIS,1.0
9628,XLM,1.0
9628,GRL,1.0
9628,GRL_AOIS,1.0
9629,XLM,1.0
9629,GRL,1.0
9629,GRL_AOIS,1.0
9630,XLM,1.0
9630,GRL,1.0
9630,GRL_AOIS,1.0
9631,XLM,1.0
9631,GRL,1.0
9631,GRL_AOIS,1.0
9632,XLM,1.0
9632,GRL,1.0
9632,GRL_AOIS,1.0
9633,XLM,1.0
9633,GRL,1.0
9633,GRL_AOIS,1.0
9634,XLM,1.0
9634,GRL,1.0
9634,GRL_AOIS,1.0
9635,XLM,1.0
9635,GRL,1.0
9635,GRL_AOIS,1.0
9636,XLM,1.0
9636,GRL,1.0
9636,GRL_AOIS,1.0
9637,XLM,1.0
9637,GRL,1.0
9637,GRL_AOIS,1.0
9638,XLM,1.0
9638,GRL,1.0
9638,GRL_AOIS,1.0
9639,XLM,1.0
9639,GRL,1.0
9639,GRL_AOIS,1.0
9640,XLM,1.0
9640,GRL,1.0
9640,GRL_AOIS,1.0
9641,XLM,1.0
9641,GRL,1.0
9641,GRL_AOIS,1.0
9642,XLM,1.0
9642,GRL,1.0
9642,GRL_AOIS,1.0
9643,XLM,1.0
9643,GRL,1.0
9643,GRL_AOIS,1.0
9644,XLM,1.0
9644,GRL,1.0
9644,GRL_AOIS,1.0
9645,XLM,1.0
9645,GRL,1.0
9645,GRL_AOIS,1.0
9646,XLM,1.0
9646,GRL,1.0
9646,GRL_AOIS,1.0
9647,XLM,1.0
9647,GRL,1.0
9647,GRL_AOIS,1.0
9648,XLM,1.0
9648,GRL,1.0
9648,GRL_AOIS,1.0
9649,XLM,1.0
9649,GRL,1.0
9649,GRL_AOIS,1.0
9650,XLM,1.0
9650,GRL,1.0
9650,GRL_AOIS,1.0
9651,XLM,1.0
9651,GRL,1.0
9651,GRL_AOIS,1.0
9652,XLM,1.0
9652,GRL,1.0
9652,GRL_AOIS,1.0
9653,XLM,1.0
9653,GRL,1.0
9653,GRL_AOIS,1.0
9654,XLM,1.0
9654,GRL,1.0
9654,GRL_AOIS,1.0
9655,XLM,1.0
9655,GRL,1.0
9655,GRL_AOIS,1.0
9656,XLM,1.0
9656,GRL,1.0
9656,GRL_AOIS,1.0
9657,XLM,1.0
9657,GRL,1.0
9657,GRL_AOIS,1.0
9658,XLM,1.0
9658,GRL,1.0
9658,GRL_AOIS,1.0
9659,XLM,1.0
9659,GRL,1.0
9659,GRL_AOIS,1.0
9660,XLM,1.0
9660,GRL,1.0
9660,GRL_AOIS,1.0
9661,XLM,1.0
9661,GRL,1.0
9661,GRL_AOIS,1.0
9662,XLM,1.0
9662,GRL,1.0
9662,GRL_AOIS,1.0
9663,XLM,1.0
9663,GRL,1.0
9663,GRL_AOIS,1.0
9664,XLM,1.0
9664,GRL,1.0
9664,GRL_AOIS,1.0
9665,XLM,1.0
9665,GRL,1.0
9665,GRL_AOIS,1.0
9666,XLM,1.0
9666,GRL,1.0
9666,GRL_AOIS,1.0
9667,XLM,1.0
9667,GRL,1.0
9667,GRL_AOIS,1.0
9668,XLM,1.0
9668,GRL,1.0
9668,GRL_AOIS,1.0
9669,XLM,1.0
9669,GRL,1.0
9669,GRL_AOIS,1.0
9670,XLM,1.0
9670,GRL,1.0
9670,GRL_AOIS,1.0
9671,XLM,1.0
9671,GRL,1.0
9671,GRL_AOIS,1.0
10276,CAN,1.0
10276,CAN_NWTT,1.0
10277,CAN,1.0
10277,CAN_NWTT,1.0
10278,CAN,1.0
10278,CAN_NWTT,1.0
10279,CAN,1.0
10279,CAN_NWTT,1.0
10280,CAN,1.0
10280,CAN_NWTT,1.0
10281,CAN,1.0
10281,CAN_NWTT,1.0
10282,CAN,1.0
10282,CAN_NWTT,1.0
10283,CAN,1.0
10283,CAN_NWTT,1.0
10284,CAN,1.0
10284,CAN_NWTT,1.0
10285,CAN,1.0
10285,CAN_NWTT,1.0
10286,CAN,1.0
10286,CAN_NWTT,1.0
10287,CAN,1.0
10287,CAN_NWTT,1.0
10288,CAN,1.0
10288,CAN_NWTT,1.0
10289,CAN,1.0
10289,CAN_NWTT,1.0
10290,CAN,1.0
10290,CAN_NWTT,1.0
10291,CAN,1.0
10291,CAN_NWTT,1.0
10292,CAN,1.0
10292,CAN_NWTT,1.0
10293,CAN,1.0
10293,CAN_NWTT,1.0
10294,CAN,1.0
10294,CAN_NWTT,1.0
10295,CAN,1.0
10295,CAN_NWTT,1.0
10296,CAN,1.0
10296,CAN_NWTT,1.0
10297,CAN,1.0
10297,CAN_NWTT,1.0
10298,CAN,1.0
10298,CAN_NWTT,1.0
10299,CAN,1.0
10299,CAN_NWTT,1.0
10300,CAN,1.0
10300,CAN_NWTT,1.0
10301,CAN,1.0
10301,CAN_NWTT,1.0
10302,CAN,1.0
10302,CAN_NWTT,1.0
10303,CAN,1.0
10303,CAN_NWTT,1.0
10304,CAN,1.0
10304,CAN_NWTT,1.0
10305,CAN,1.0
10305,CAN_NWTT,1.0
10306,CAN,1.0
10306,CAN_NWTT,1.0
10307,CAN,1.0
10307,CAN_NWTT,1.0
10308,CAN,1.0
10308,CAN_NWTT,1.0
10309,CAN,1.0
10309,CAN_NWTT,1.0
10310,CAN,1.0
10310,CAN_NWTT,1.0
10311,CAN,1.0
10311,CAN_NWTT,1.0
10312,CAN,1.0
10312,CAN_NWTT,1.0
10313,CAN,1.0
10313,CAN_NWTT,1.0
10314,CAN,1.0
10314,CAN_NWTT,1.0
10315,CAN,1.0
10315,CAN_NWTT,1.0
10316,CAN,1.0
10316,CAN_NWTT,1.0
10338,XLM,1.0
10338,GRL,1.0
10338,GRL_AOIS,1.0
10339,XLM,1.0
10339,GRL,1.0
10339,GRL_AOIS,1.0
10344,XLM,1.0
10344,GRL,1.0
10344,GRL_AOIS,1.0
10345,XLM,1.0
10345,GRL,1.0
10345,GRL_AOIS,1.0
10346,XLM,1.0
10346,GRL,1.0
10346,GRL_AOIS,1.0
10347,XLM,1.0
10347,GRL,1.0
10347,GRL_AOIS,1.0
10348,XLM,1.0
10348,GRL,1.0
10348,GRL_AOIS,1.0
10349,XLM,1.0
10349,GRL,1.0
10349,GRL_AOIS,1.0
10350,XLM,1.0
10350,GRL,1.0
10350,GRL_AOIS,1.0
10351,XLM,1.0
10351,GRL,1.0
10351,GRL_AOIS,1.0
10352,XLM,1.0
10352,GRL,1.0
10352,GRL_AOIS,1.0
10353,XLM,1.0
10353,GRL,1.0
10353,GRL_AOIS,1.0
10354,XLM,1.0
10354,GRL,1.0
10354,GRL_AOIS,1.0
10355,XLM,1.0
10355,GRL,1.0
10355,GRL_AOIS,1.0
10356,XLM,1.0
10356,GRL,1.0
10356,GRL_AOIS,1.0
10357,XLM,1.0
10357,GRL,1.0
10357,GRL_AOIS,1.0
10358,XLM,1.0
10358,GRL,1.0
10358,GRL_AOIS,1.0
10359,XLM,1.0
10359,GRL,1.0
10359,GRL_AOIS,1.0
10360,XLM,1.0
10360,GRL,1.0
10360,GRL_AOIS,1.0
10361,XLM,1.0
10361,GRL,1.0
10361,GRL_AOIS,1.0
10362,XLM,1.0
10362,GRL,1.0
10362,GRL_AOIS,1.0
10363,XLM,1.0
10363,GRL,1.0
10363,GRL_AOIS,1.0
10364,XLM,1.0
10364,GRL,1.0
10364,GRL_AOIS,1.0
10365,XLM,1.0
10365,GRL,1.0
10365,GRL_AOIS,1.0
10366,XLM,1.0
10366,GRL,1.0
10366,GRL_AOIS,1.0
10367,XLM,1.0
10367,GRL,1.0
10367,GRL_AOIS,1.0
10368,XLM,1.0
10368,GRL,1.0
10368,GRL_AOIS,1.0
10369,XLM,1.0
10369,GRL,1.0
10369,GRL_AOIS,1.0
10370,XLM,1.0
10370,GRL,1.0
10370,GRL_AOIS,1.0
10371,XLM,1.0
10371,GRL,1.0
10371,GRL_AOIS,1.0
10372,XLM,1.0
10372,GRL,1.0
10372,GRL_AOIS,1.0
10373,XLM,1.0
10373,GRL,1.0
10373,GRL_AOIS,1.0
10374,XLM,1.0
10374,GRL,1.0
10374,GRL_AOIS,1.0
10375,XLM,1.0
10375,GRL,1.0
10375,GRL_AOIS,1.0
10376,XLM,1.0
10376,GRL,1.0
10376,GRL_AOIS,1.0
10377,XLM,1.0
10377,GRL,1.0
10377,GRL_AOIS,1.0
10378,XLM,1.0
10378,GRL,1.0
10378,GRL_AOIS,1.0
10379,XLM,1.0
10379,GRL,1.0
10379,GRL_AOIS,1.0
10380,XLM,1.0
10380,GRL,1.0
10380,GRL_AOIS,1.0
10381,XLM,1.0
10381,GRL,1.0
10381,GRL_AOIS,1.0
10382,XLM,1.0
10382,GRL,1.0
10382,GRL_AOIS,1.0
10383,XLM,1.0
10383,GRL,1.0
10383,GRL_AOIS,1.0
10384,XLM,1.0
10384,GRL,1.0
10384,GRL_AOIS,1.0
10385,XLM,1.0
10385,GRL,1.0
10385,GRL_AOIS,1.0
10386,XLM,1.0
10386,GRL,1.0
10386,GRL_AOIS,1.0
10387,XLM,1.0
10387,GRL,1.0
10387,GRL_AOIS,1.0
10388,XLM,1.0
10388,GRL,1.0
10388,GRL_AOIS,1.0
10389,XLM,1.0
10389,GRL,1.0
10389,GRL_AOIS,1.0
10390,XLM,1.0
10390,GRL,1.0
10390,GRL_AOIS,1.0
10391,XLM,1.0
10391,GRL,1.0
10391,GRL_AOIS,1.0
10392,XLM,1.0
10392,GRL,1.0
10392,GRL_AOIS,1.0
10393,XLM,1.0
10393,GRL,1.0
10393,GRL_AOIS,1.0
10394,XLM,1.0
10394,GRL,1.0
10394,GRL_AOIS,1.0
10395,XLM,1.0
10395,GRL,1.0
10395,GRL_AOIS,1.0
10396,XLM,1.0
10396,GRL,1.0
10396,GRL_AOIS,1.0
10397,XLM,1.0
10397,GRL,1.0
10397,GRL_AOIS,1.0
10398,XLM,1.0
10398,GRL,1.0
10398,GRL_AOIS,1.0
10983,CAN,1.0
10983,CAN_NWTT,1.0
10984,CAN,1.0
10984,CAN_NWTT,1.0
10985,CAN,1.0
10985,CAN_NWTT,1.0
10986,CAN,1.0
10986,CAN_NWTT,1.0
10987,CAN,1.0
10987,CAN_NWTT,1.0
10988,CAN,1.0
10988,CAN_NWTT,1.0
10989,CAN,1.0
10989,CAN_NWTT,1.0
10990,CAN,1.0
10990,CAN_NWTT,1.0
10991,CAN,1.0
10991,CAN_NWTT,1.0
10992,CAN,1.0
10992,CAN_NWTT,1.0
10993,CAN,1.0
10993,CAN_NWTT,1.0
10994,CAN,1.0
10994,CAN_NWTT,1.0
10995,CAN,1.0
10995,CAN_NWTT,1.0
10996,CAN,1.0
10996,CAN_NWTT,1.0
10997,CAN,1.0
10997,CAN_NWTT,1.0
10998,CAN,1.0
10998,CAN_NWTT,1.0
10999,CAN,1.0
10999,CAN_NWTT,1.0
11000,CAN,1.0
11000,CAN_NWTT,1.0
11001,CAN,1.0
11001,CAN_NWTT,1.0
11002,CAN,1.0
11002,CAN_NWTT,1.0
11003,CAN,1.0
11003,CAN_NWTT,1.0
11004,CAN,1.0
11004,CAN_NWTT,1.0
11005,CAN,1.0
11005,CAN_NWTT,1.0
11006,CAN,1.0
11006,CAN_NWTT,1.0
11007,CAN,1.0
11007,CAN_NWTT,1.0
11008,CAN,1.0
11008,CAN_NWTT,1.0
11009,CAN,1.0
11009,CAN_NWTT,1.0
11010,CAN,1.0
11010,CAN_NWTT,1.0
11011,CAN,1.0
11011,CAN_NWTT,1.0
11012,CAN,1.0
11012,CAN_NWTT,1.0
11013,CAN,1.0
11013,CAN_NWTT,1.0
11014,CAN,1.0
11014,CAN_NWTT,1.0
11015,CAN,1.0
11015,CAN_NWTT,1.0
11016,CAN,1.0
11016,CAN_NWTT,1.0
11017,CAN,1.0
11017,CAN_NWTT,1.0
11018,CAN,1.0
11018,CAN_NWTT,1.0
11019,CAN,1.0
11019,CAN_NWTT,1.0
11020,CAN,1.0
11020,CAN_NWTT,1.0
11021,CAN,1.0
11021,CAN_NWTT,1.0
11022,CAN,1.0
11022,CAN_NWTT,1.0
11023,CAN,1.0
11023,CAN_NWTT,1.0
11024,CAN,1.0
11024,CAN_NWTT,1.0
11025,CAN,1.0
11025,CAN_NWTT,1.0
11026,CAN,1.0
11026,CAN_NWTT,1.0
11027,CAN,1.0
11027,CAN_NWTT,1.0
11028,CAN,1.0
