"ISO_A3","MAJ_BAS","Basin"
"ABW","3001","CARC"
"AIA","2015","CARI"
"AND","4007","EBRO"
"AND","4008","GIRD"
"ATF","7015","MADA"
"ATF","9001","ANTC"
"AUS","8008","NZLZ"
"BLM","2015","CARI"
"BRN","5033","NBCO"
"CUB","2015","CARI"
"CUW","3001","CARC"
"CYM","2015","CARI"
"DMA","2015","CARI"
"ERI","7003","NILE"
"ERI","7010","RIFT"
"ERI","7019","ARGA"
"FLK","3016","SASS"
"FRO","4016","SCTD"
"FSM","5060","MICO"
"GGY","4009","FWCX"
"GIB","4005","SSEC"
"GNQ","7022","GFGU"
"GRL","4050","AOIS"
"GUM","5058","NMIG"
"HMD","9001","ANTC"
"IMN","4014","EAWC"
"JEY","4009","FWCX"
"KIR","5013","KINA"
"KNA","2015","CARI"
"LIE","4018","RHIN"
"MAF","2015","CARI"
"MCO","4013","FSCD"
"MHL","5055","WMII"
"MNP","5058","NMIG"
"MSR","2015","CARI"
"NCL","8007","SPII"
"NFK","8008","NZLZ"
"NOR","9001","ANTC"
"NRU","5013","KINA"
"PHL","5033","NBCO"
"PLW","5057","PAEI"
"PRI","2015","CARI"
"PRK","5001","AMUR"
"PRK","5002","BHKN"
"PRK","5003","RSEC"
"PRK","5014","NSKU"
"PSE","6002","MSEC"
"PSE","6006","DEAS"
"RUS","1010","PACA"
"SGP","5021","PMAL"
"SGS","9001","ANTC"
"SMR","4024","IECO"
"SOM","7004","SHJU"
"SOM","7010","RIFT"
"SOM","7018","AECC"
"SOM","7019","ARGA"
"SPM","1014","AOSB"
"SSD","7003","NILE"
"SSD","7005","CONG"
"SSD","7010","RIFT"
"SXM","2015","CARI"
"SYC","7015","MADA"
"SYR","6002","MSEC"
"SYR","6004","TIEU"
"SYR","6005","EJSS"
"SYR","6006","DEAS"
"TCA","2015","CARI"
"TUV","5061","TUVA"
"UMI","2015","CARI"
"UMI","5055","WMII"
"VAT","4023","TIBE"
"VEN","3001","CARC"
"VEN","3002","MAGD"
"VEN","3003","ORIN"
"VEN","3004","NESO"
"VEN","3005","AMAZ"
"VGB","2015","CARI"
"VIR","2015","CARI"
"XKX","4025","DANU"
"XKX","4031","AGBS"
"YEM","6008","RSEE"
"YEM","6009","ARPA"
"YEM","7019","ARGA"
"ZAF","9001","ANTC"
