scenario,region,type,*,year,value
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2005,-261.6208665938747
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2010,-161.19553737479276
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2015,-175.03442208188594
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2020,316.16249290926334
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2025,-332.0294233229941
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2030,307.1049909037805
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2040,-254.45694665321005
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2050,-241.05439678540864
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2060,-242.26519600723623
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2070,-248.28121607052964
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2080,-262.80968476656744
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2090,-279.9726904796293
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2100,-290.72167247204493
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2005,-99.40424153219128
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2010,65.46527618049424
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2015,-85.66612819618321
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2020,-62.12100740420355
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2025,-96.51179340383743
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2030,-35.59371362046236
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2040,-90.5098532386421
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2050,-92.75599889115603
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2060,-94.28365371167126
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2070,-94.48409465309653
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2080,-94.49810860009126
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2090,-92.59355384204203
