scenario,region,type,*,year,value
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2005,-245.00987268449495
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2010,-126.19460357737
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2015,-102.70323639740909
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2020,326.3436379733313
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2025,-315.25304720510576
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2030,299.02271958370915
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2040,-266.18856682463695
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2050,-267.9285549873342
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2060,-260.3164264269509
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2070,-278.1372935067428
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2080,-273.05725899286557
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2090,-273.71986633798747
SSP2_BaU_NoCC,XE25,Emi_CO2_AFO,Mt CO2/yr,2100,-277.4730122718301
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2005,-92.35277002983281
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2010,-80.81422162869576
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2015,-54.745964517441884
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2020,-49.81351550589203
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2025,-90.04008091037997
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2030,-31.757996043599718
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2040,-86.96799634990073
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2050,-89.67669491846281
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2060,-93.15367499613822
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2070,-93.5598483589819
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2080,-93.86881289670998
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2090,-92.31167114479466
SSP2_BaU_NoCC,XER,Emi_CO2_AFO,Mt CO2/yr,2100,-83.81801488167335
SSP2_BaU_NoCC,XOC,Emi_CO2_AFO,Mt CO2/yr,2005,-27.480579411117553
SSP2_BaU_NoCC,XOC,Emi_CO2_AFO,Mt CO2/yr,2010,1.5293953657056534
SSP2_BaU_NoCC,XOC,Emi_CO2_AFO,Mt CO2/yr,2015,101.30062858697589
SSP2_BaU_NoCC,XOC,Emi_CO2_AFO,Mt CO2/yr,2020,267.43957203411304
SSP2_BaU_NoCC,XOC,Emi_CO2_AFO,Mt CO2/yr,2025,288.44794148931874
SSP2_BaU_NoCC,XOC,Emi_CO2_AFO,Mt CO2/yr,2030,419.8480678450781
SSP2_BaU_NoCC,XOC,Emi_CO2_AFO,Mt CO2/yr,2040,147.31783203956388
SSP2_BaU_NoCC,XOC,Emi_CO2_AFO,Mt CO2/yr,2050,54.61007135298783
SSP2_BaU_NoCC,XOC,Emi_CO2_AFO,Mt CO2/yr,2060,43.18594275676783
SSP2_BaU_NoCC,XOC,Emi_CO2_AFO,Mt CO2/yr,2070,90.7180617637151
SSP2_BaU_NoCC,XOC,Emi_CO2_AFO,Mt CO2/yr,2080,132.05314888786143
SSP2_BaU_NoCC,XOC,Emi_CO2_AFO,Mt CO2/yr,2090,128.5561321138101
SSP2_BaU_NoCC,XOC,Emi_CO2_AFO,Mt CO2/yr,2100,54.20175127156657
SSP2_BaU_NoCC,XSE,Emi_CO2_AFO,Mt CO2/yr,2005,-560.3397689259607
SSP2_BaU_NoCC,XSE,Emi_CO2_AFO,Mt CO2/yr,2010,393.05964648207714
SSP2_BaU_NoCC,XSE,Emi_CO2_AFO,Mt CO2/yr,2015,217.64039111192062
SSP2_BaU_NoCC,XSE,Emi_CO2_AFO,Mt CO2/yr,2020,163.73789203194985
SSP2_BaU_NoCC,XSE,Emi_CO2_AFO,Mt CO2/yr,2025,-446.36922006470064
SSP2_BaU_NoCC,XSE,Emi_CO2_AFO,Mt CO2/yr,2030,181.85764562523923
SSP2_BaU_NoCC,XSE,Emi_CO2_AFO,Mt CO2/yr,2040,-333.4964772808597
SSP2_BaU_NoCC,XSE,Emi_CO2_AFO,Mt CO2/yr,2050,-442.433502213775
SSP2_BaU_NoCC,XSE,Emi_CO2_AFO,Mt CO2/yr,2060,-416.5568711374181
SSP2_BaU_NoCC,XSE,Emi_CO2_AFO,Mt CO2/yr,2070,-421.4949523436957
SSP2_BaU_NoCC,XSE,Emi_CO2_AFO,Mt CO2/yr,2080,-344.7113584948031
SSP2_BaU_NoCC,XSE,Emi_CO2_AFO,Mt CO2/yr,2090,-366.9420145481209
SSP2_BaU_NoCC,XSE,Emi_CO2_AFO,Mt CO2/yr,2100,-385.7691948648964
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2005,-61.36697426972597
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2010,-18.110000788096748
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2015,-28.32357401985397
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2020,-24.90551744263471
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2025,-24.321518408455198
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2030,22.03614074336157
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2040,-29.158803467033508
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2050,-38.089745573124134
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2060,-41.62843043601334
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2070,-55.05161704294086
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2080,-56.19982444240276
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2090,-59.11931538500672
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2100,-65.73266964932225
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2005,-360.1745339497473
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2010,-44.71926129335293
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2015,-86.03634061315961
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2020,533.386710755336
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2025,-67.84487565030003
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2030,562.7749082756343
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2040,75.0806290990422
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2050,-175.15329447490151
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2060,-246.54175258518558
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2070,-263.1544769177408
