scenario,year,region,type,value
SSP2_1000C_CACN_NoCC,base,USA,OTH,33613.452
SSP2_1000C_CACN_NoCC,base,USA,URB,11695.345311309815
SSP2_1000C_CACN_NoCC,base,XE25,OTH,3206.0
SSP2_1000C_CACN_NoCC,base,XE25,URB,9106.496241195679
SSP2_1000C_CACN_NoCC,base,XER,OTH,13232.0
SSP2_1000C_CACN_NoCC,base,XER,URB,1090.242361709595
SSP2_1000C_CACN_NoCC,base,TUR,URB,821.3799714660644
SSP2_1000C_CACN_NoCC,base,XOC,OTH,1467.0
SSP2_1000C_CACN_NoCC,base,XOC,URB,883.3264156804086
SSP2_1000C_CACN_NoCC,base,CHN,OTH,239998.39534375
SSP2_1000C_CACN_NoCC,base,CHN,URB,8006.078889526368
SSP2_1000C_CACN_NoCC,base,IND,OTH,13430.3702109375
SSP2_1000C_CACN_NoCC,base,IND,URB,3026.2728974914553
SSP2_1000C_CACN_NoCC,base,JPN,URB,1710.2899680175783
SSP2_1000C_CACN_NoCC,base,XSE,OTH,14506.901
SSP2_1000C_CACN_NoCC,base,XSE,URB,3032.1656320037837
SSP2_1000C_CACN_NoCC,base,XSA,OTH,44675.7545
SSP2_1000C_CACN_NoCC,base,XSA,URB,866.7895990753174
SSP2_1000C_CACN_NoCC,base,CAN,OTH,283585.656
SSP2_1000C_CACN_NoCC,base,CAN,URB,785.9824775390625
SSP2_1000C_CACN_NoCC,base,BRA,URB,3742.538360931397
SSP2_1000C_CACN_NoCC,base,XLM,OTH,72183.21731250001
SSP2_1000C_CACN_NoCC,base,XLM,URB,4894.335314867021
SSP2_1000C_CACN_NoCC,base,CIS,OTH,253974.9918984375
SSP2_1000C_CACN_NoCC,base,CIS,URB,5880.5270887603765
SSP2_1000C_CACN_NoCC,base,XME,OTH,281021.7655625
SSP2_1000C_CACN_NoCC,base,XME,URB,2128.071955810547
SSP2_1000C_CACN_NoCC,base,XNF,OTH,456890.6350624999
SSP2_1000C_CACN_NoCC,base,XNF,URB,927.4797019042969
SSP2_1000C_CACN_NoCC,base,XAF,OTH,399410.63371875
SSP2_1000C_CACN_NoCC,base,XAF,URB,2896.931178625107
SSP2_1000C_CACN_NoCC,base,ASIA2,OTH,312611.42105468747
SSP2_1000C_CACN_NoCC,base,ASIA2,URB,16641.596986114502
SSP2_1000C_CACN_NoCC,base,World,OTH,2111196.772609375
SSP2_1000C_CACN_NoCC,base,World,URB,61494.25336591386
SSP2_1000C_CACN_NoCC,base,Non-OECD,OTH,1776092.664609375
SSP2_1000C_CACN_NoCC,base,Non-OECD,URB,35401.19061899567
SSP2_1000C_CACN_NoCC,base,Industrial,OTH,321872.108
SSP2_1000C_CACN_NoCC,base,Industrial,URB,24181.440413742544
SSP2_1000C_CACN_NoCC,base,Transition,OTH,520635.75745312497
SSP2_1000C_CACN_NoCC,base,Transition,URB,22567.039569885255
SSP2_1000C_CACN_NoCC,base,Developing,OTH,1268688.90715625
SSP2_1000C_CACN_NoCC,base,Developing,URB,14745.773382286072
SSP2_1000C_CACN_NoCC,base,R5ASIA,OTH,312611.42105468747
SSP2_1000C_CACN_NoCC,base,R5ASIA,URB,14931.307018096923
SSP2_1000C_CACN_NoCC,base,R5OECD90+EU,OTH,335104.108
SSP2_1000C_CACN_NoCC,base,R5OECD90+EU,URB,26093.062746918204
SSP2_1000C_CACN_NoCC,base,R5REF,OTH,253974.9918984375
SSP2_1000C_CACN_NoCC,base,R5REF,URB,5880.5270887603765
SSP2_1000C_CACN_NoCC,base,R5MAF,OTH,1137323.0343437498
SSP2_1000C_CACN_NoCC,base,R5MAF,URB,5952.48283633995
SSP2_1000C_CACN_NoCC,base,R5LAM,OTH,72183.21731250001
SSP2_1000C_CACN_NoCC,base,R5LAM,URB,8636.873675798419
SSP2_1000C_CACN_NoCC,1970,USA,OTH,33613.452
SSP2_1000C_CACN_NoCC,1970,USA,URB,11695.345311309815
SSP2_1000C_CACN_NoCC,1970,XE25,OTH,3206.0
SSP2_1000C_CACN_NoCC,1970,XE25,URB,9106.496241195679
SSP2_1000C_CACN_NoCC,1970,XER,OTH,13232.0
SSP2_1000C_CACN_NoCC,1970,XER,URB,1090.242361709595
SSP2_1000C_CACN_NoCC,1970,TUR,URB,821.3799714660644
SSP2_1000C_CACN_NoCC,1970,XOC,OTH,1467.0
SSP2_1000C_CACN_NoCC,1970,XOC,URB,883.3264156804086
SSP2_1000C_CACN_NoCC,1970,CHN,OTH,239998.39534375
SSP2_1000C_CACN_NoCC,1970,CHN,URB,8006.078889526368
SSP2_1000C_CACN_NoCC,1970,IND,OTH,13430.3702109375
SSP2_1000C_CACN_NoCC,1970,IND,URB,3026.2728974914553
SSP2_1000C_CACN_NoCC,1970,JPN,URB,1710.2899680175783
SSP2_1000C_CACN_NoCC,1970,XSE,OTH,14506.901
SSP2_1000C_CACN_NoCC,1970,XSE,URB,3032.1656320037837
SSP2_1000C_CACN_NoCC,1970,XSA,OTH,44675.7545
SSP2_1000C_CACN_NoCC,1970,XSA,URB,866.7895990753174
SSP2_1000C_CACN_NoCC,1970,CAN,OTH,283585.656
SSP2_1000C_CACN_NoCC,1970,CAN,URB,785.9824775390625
SSP2_1000C_CACN_NoCC,1970,BRA,URB,3742.538360931397
SSP2_1000C_CACN_NoCC,1970,XLM,OTH,72183.21731250001
SSP2_1000C_CACN_NoCC,1970,XLM,URB,4894.335314867021
SSP2_1000C_CACN_NoCC,1970,CIS,OTH,253974.9918984375
SSP2_1000C_CACN_NoCC,1970,CIS,URB,5880.5270887603765
SSP2_1000C_CACN_NoCC,1970,XME,OTH,281021.7655625
SSP2_1000C_CACN_NoCC,1970,XME,URB,2128.071955810547
SSP2_1000C_CACN_NoCC,1970,XNF,OTH,456890.6350624999
SSP2_1000C_CACN_NoCC,1970,XNF,URB,927.4797019042969
SSP2_1000C_CACN_NoCC,1970,XAF,OTH,399410.63371875
SSP2_1000C_CACN_NoCC,1970,XAF,URB,2896.931178625107
SSP2_1000C_CACN_NoCC,1970,ASIA2,OTH,312611.42105468747
SSP2_1000C_CACN_NoCC,1970,ASIA2,URB,16641.596986114502
SSP2_1000C_CACN_NoCC,1970,World,OTH,2111196.772609375
SSP2_1000C_CACN_NoCC,1970,World,URB,61494.25336591386
SSP2_1000C_CACN_NoCC,1970,Non-OECD,OTH,1776092.664609375
SSP2_1000C_CACN_NoCC,1970,Non-OECD,URB,35401.19061899567
SSP2_1000C_CACN_NoCC,1970,Industrial,OTH,321872.108
SSP2_1000C_CACN_NoCC,1970,Industrial,URB,24181.440413742544
SSP2_1000C_CACN_NoCC,1970,Transition,OTH,520635.75745312497
SSP2_1000C_CACN_NoCC,1970,Transition,URB,22567.039569885255
SSP2_1000C_CACN_NoCC,1970,Developing,OTH,1268688.90715625
SSP2_1000C_CACN_NoCC,1970,Developing,URB,14745.773382286072
SSP2_1000C_CACN_NoCC,1970,R5ASIA,OTH,312611.42105468747
SSP2_1000C_CACN_NoCC,1970,R5ASIA,URB,14931.307018096923
SSP2_1000C_CACN_NoCC,1970,R5OECD90+EU,OTH,335104.108
SSP2_1000C_CACN_NoCC,1970,R5OECD90+EU,URB,26093.062746918204
SSP2_1000C_CACN_NoCC,1970,R5REF,OTH,253974.9918984375
SSP2_1000C_CACN_NoCC,1970,R5REF,URB,5880.5270887603765
SSP2_1000C_CACN_NoCC,1970,R5MAF,OTH,1137323.0343437498
