scenario,basin,type,year,value
SSP2_500C_NoCC,AFG_AMDA,wht,2005,1112.382245688896
SSP2_500C_NoCC,AFG_AMDA,wht,2010,1166.2960897775622
SSP2_500C_NoCC,AFG_AMDA,wht,2015,1048.3082580492173
SSP2_500C_NoCC,AFG_AMDA,wht,2020,1014.5848918941336
SSP2_500C_NoCC,AFG_AMDA,wht,2025,1183.2313709761083
SSP2_500C_NoCC,AFG_AMDA,wht,2030,1423.6402547418083
SSP2_500C_NoCC,AFG_AMDA,wht,2035,1536.4968361825001
SSP2_500C_NoCC,AFG_AMDA,wht,2040,1586.3700439856234
SSP2_500C_NoCC,AFG_AMDA,wht,2045,1651.7680753088346
SSP2_500C_NoCC,AFG_AMDA,wht,2050,1612.0402022632334
SSP2_500C_NoCC,AFG_AMDA,wht,2060,937.4312802050567
SSP2_500C_NoCC,AFG_AMDA,wht,2070,906.2957421345644
SSP2_500C_NoCC,AFG_AMDA,wht,2080,986.0714077440514
SSP2_500C_NoCC,AFG_AMDA,wht,2090,1200.074821700961
SSP2_500C_NoCC,AFG_AMDA,wht,2100,1435.2639837078095
SSP2_500C_NoCC,AFG_AMDA,frs,2005,775.3555641697726
SSP2_500C_NoCC,AFG_AMDA,frs,2010,773.0579496919677
SSP2_500C_NoCC,AFG_AMDA,frs,2015,772.3880001576855
SSP2_500C_NoCC,AFG_AMDA,frs,2020,724.8276132249867
SSP2_500C_NoCC,AFG_AMDA,frs,2025,1001.5814532192836
SSP2_500C_NoCC,AFG_AMDA,frs,2030,1095.6695184391094
SSP2_500C_NoCC,AFG_AMDA,frs,2035,1142.587472063029
SSP2_500C_NoCC,AFG_AMDA,frs,2040,1130.9459941028822
SSP2_500C_NoCC,AFG_AMDA,frs,2045,1070.4403175586863
SSP2_500C_NoCC,AFG_AMDA,frs,2050,990.7350009550186
SSP2_500C_NoCC,AFG_AMDA,frs,2060,734.1488874136905
SSP2_500C_NoCC,AFG_AMDA,frs,2070,663.6657462991573
SSP2_500C_NoCC,AFG_AMDA,frs,2080,609.8847426977434
SSP2_500C_NoCC,AFG_AMDA,frs,2090,641.6008140631483
SSP2_500C_NoCC,AFG_AMDA,frs,2100,662.669482927033
SSP2_500C_NoCC,AFG_AMDA,OSD,2005,54.6275743110632
SSP2_500C_NoCC,AFG_AMDA,OSD,2010,44.1921108892462
SSP2_500C_NoCC,AFG_AMDA,OSD,2015,33.11338765933509
SSP2_500C_NoCC,AFG_AMDA,OSD,2020,32.563358983435826
SSP2_500C_NoCC,AFG_AMDA,OSD,2025,36.46911235526486
SSP2_500C_NoCC,AFG_AMDA,OSD,2030,41.734917646542904
SSP2_500C_NoCC,AFG_AMDA,OSD,2035,46.08198957454315
SSP2_500C_NoCC,AFG_AMDA,OSD,2040,47.17071055150122
SSP2_500C_NoCC,AFG_AMDA,OSD,2045,48.875247653025504
SSP2_500C_NoCC,AFG_AMDA,OSD,2050,48.63150254007929
SSP2_500C_NoCC,AFG_AMDA,OSD,2060,34.19444370539423
SSP2_500C_NoCC,AFG_AMDA,OSD,2070,34.73368165602607
SSP2_500C_NoCC,AFG_AMDA,OSD,2080,34.09724730578394
SSP2_500C_NoCC,AFG_AMDA,OSD,2090,38.16241547666094
SSP2_500C_NoCC,AFG_AMDA,OSD,2100,41.94982140613383
SSP2_500C_NoCC,AFG_AMDA,AFR,2025,49.623364639985226
SSP2_500C_NoCC,AFG_AMDA,AFR,2030,99.24672927997045
SSP2_500C_NoCC,AFG_AMDA,AFR,2035,98.75100325328268
SSP2_500C_NoCC,AFG_AMDA,AFR,2040,98.2552772265949
SSP2_500C_NoCC,AFG_AMDA,AFR,2045,289.9869074476884
SSP2_500C_NoCC,AFG_AMDA,AFR,2050,481.71853766878195
SSP2_500C_NoCC,AFG_AMDA,AFR,2060,482.11417483038986
SSP2_500C_NoCC,AFG_AMDA,AFR,2070,480.5988463732598
SSP2_500C_NoCC,AFG_AMDA,AFR,2080,479.14337482569226
SSP2_500C_NoCC,AFG_AMDA,AFR,2090,477.40618019596053
SSP2_500C_NoCC,AFG_AMDA,AFR,2100,475.83162143831754
SSP2_500C_NoCC,AFG_AMDA,BIO,2025,64.14659160146259
SSP2_500C_NoCC,AFG_AMDA,BIO,2030,133.88457584220538
SSP2_500C_NoCC,AFG_AMDA,BIO,2035,287.4832228294783
SSP2_500C_NoCC,AFG_AMDA,BIO,2040,527.8330255357918
SSP2_500C_NoCC,AFG_AMDA,BIO,2045,689.302765900586
SSP2_500C_NoCC,AFG_AMDA,BIO,2050,987.4219454257781
SSP2_500C_NoCC,AFG_AMDA,BIO,2060,3384.168650376663
SSP2_500C_NoCC,AFG_AMDA,BIO,2070,2847.2989183911964
SSP2_500C_NoCC,AFG_AMDA,BIO,2080,2859.1694578021243
SSP2_500C_NoCC,AFG_AMDA,BIO,2090,3028.391399810591
SSP2_500C_NoCC,AFG_AMDA,BIO,2100,3303.9161242764885
