scenario,region,type,year,value
SSP2_500C_NoCC,BRA,wht,2005,2747.4521402409173
SSP2_500C_NoCC,BRA,wht,2010,2574.700305321722
SSP2_500C_NoCC,BRA,wht,2015,2557.974724722401
SSP2_500C_NoCC,BRA,wht,2020,2360.6330618870866
SSP2_500C_NoCC,BRA,wht,2025,2592.8745122556056
SSP2_500C_NoCC,BRA,wht,2030,3035.3690578864766
SSP2_500C_NoCC,BRA,wht,2035,3373.5008085666595
SSP2_500C_NoCC,BRA,wht,2040,3668.8161904675735
SSP2_500C_NoCC,BRA,wht,2045,3951.3416635299036
SSP2_500C_NoCC,BRA,wht,2050,4081.2230874731567
SSP2_500C_NoCC,BRA,wht,2060,2098.5291269747718
SSP2_500C_NoCC,BRA,wht,2070,1301.2342154763328
SSP2_500C_NoCC,BRA,wht,2080,1121.7407364319806
SSP2_500C_NoCC,BRA,wht,2090,1086.156734581671
SSP2_500C_NoCC,BRA,wht,2100,1056.921500083902
SSP2_500C_NoCC,BRA,frs,2005,457088.4414044435
SSP2_500C_NoCC,BRA,frs,2010,451022.22066406655
SSP2_500C_NoCC,BRA,frs,2015,442790.197921296
SSP2_500C_NoCC,BRA,frs,2020,432153.1642619201
SSP2_500C_NoCC,BRA,frs,2025,465573.77309732605
SSP2_500C_NoCC,BRA,frs,2030,470127.69122781296
SSP2_500C_NoCC,BRA,frs,2035,481901.0180787489
SSP2_500C_NoCC,BRA,frs,2040,490031.5335721695
SSP2_500C_NoCC,BRA,frs,2045,500652.45188253245
SSP2_500C_NoCC,BRA,frs,2050,501015.92956311454
SSP2_500C_NoCC,BRA,frs,2060,428762.6130155946
SSP2_500C_NoCC,BRA,frs,2070,399449.4376724649
SSP2_500C_NoCC,BRA,frs,2080,380169.85630022903
SSP2_500C_NoCC,BRA,frs,2090,379732.71197067364
SSP2_500C_NoCC,BRA,frs,2100,386970.3113300963
SSP2_500C_NoCC,BRA,OSD,2005,28804.79452394951
SSP2_500C_NoCC,BRA,OSD,2010,29014.329230113588
SSP2_500C_NoCC,BRA,OSD,2015,34714.94309213859
SSP2_500C_NoCC,BRA,OSD,2020,34320.6334920448
SSP2_500C_NoCC,BRA,OSD,2025,36207.30873274749
SSP2_500C_NoCC,BRA,OSD,2030,39534.65479957409
SSP2_500C_NoCC,BRA,OSD,2035,43218.485664063075
SSP2_500C_NoCC,BRA,OSD,2040,47206.54053819062
SSP2_500C_NoCC,BRA,OSD,2045,50863.30572388656
SSP2_500C_NoCC,BRA,OSD,2050,52566.346509846364
SSP2_500C_NoCC,BRA,OSD,2060,29878.719760878994
SSP2_500C_NoCC,BRA,OSD,2070,19729.606678380915
SSP2_500C_NoCC,BRA,OSD,2080,17900.173860847135
SSP2_500C_NoCC,BRA,OSD,2090,17310.467923808257
SSP2_500C_NoCC,BRA,OSD,2100,16450.47256190306
SSP2_500C_NoCC,BRA,BIO,2025,1455.7867294961957
SSP2_500C_NoCC,BRA,BIO,2030,1507.1530651366982
SSP2_500C_NoCC,BRA,BIO,2035,2112.5997187405715
SSP2_500C_NoCC,BRA,BIO,2040,3646.7426540330375
SSP2_500C_NoCC,BRA,BIO,2045,8772.591961178015
SSP2_500C_NoCC,BRA,BIO,2050,22468.31889609439
SSP2_500C_NoCC,BRA,BIO,2060,164282.84986634005
SSP2_500C_NoCC,BRA,BIO,2070,205352.5408980297
SSP2_500C_NoCC,BRA,BIO,2080,230283.53745016392
SSP2_500C_NoCC,BRA,BIO,2090,232160.8537007625
SSP2_500C_NoCC,BRA,BIO,2100,225387.54977650288
SSP2_500C_NoCC,BRA,C_B,2005,6756.654044308357
SSP2_500C_NoCC,BRA,C_B,2010,10712.406210358437
SSP2_500C_NoCC,BRA,C_B,2015,10460.401683245214
SSP2_500C_NoCC,BRA,C_B,2020,10497.706443969279
SSP2_500C_NoCC,BRA,C_B,2025,11136.935925290098
SSP2_500C_NoCC,BRA,C_B,2030,12160.556224473641
SSP2_500C_NoCC,BRA,C_B,2035,13096.662316885333
SSP2_500C_NoCC,BRA,C_B,2040,13871.572097647562
SSP2_500C_NoCC,BRA,C_B,2045,14508.950609109144
SSP2_500C_NoCC,BRA,C_B,2050,14826.76167613192
SSP2_500C_NoCC,BRA,C_B,2060,10105.2614448774
SSP2_500C_NoCC,BRA,C_B,2070,6585.086910762656
SSP2_500C_NoCC,BRA,C_B,2080,6392.960015777611
SSP2_500C_NoCC,BRA,C_B,2090,6234.934824218572
SSP2_500C_NoCC,BRA,C_B,2100,6103.571987451677
SSP2_500C_NoCC,BRA,CL,2005,84463.20626028905
SSP2_500C_NoCC,BRA,CL,2010,87327.03795406461
SSP2_500C_NoCC,BRA,CL,2015,89212.18099682684
SSP2_500C_NoCC,BRA,CL,2020,86361.82350065095
SSP2_500C_NoCC,BRA,CL,2025,94895.2988277241
SSP2_500C_NoCC,BRA,CL,2030,104477.7971144008
SSP2_500C_NoCC,BRA,CL,2035,114105.3253660341
SSP2_500C_NoCC,BRA,CL,2040,122946.8883496534
SSP2_500C_NoCC,BRA,CL,2045,134867.15351795912
SSP2_500C_NoCC,BRA,CL,2050,150211.12963105668
SSP2_500C_NoCC,BRA,CL,2060,248926.07614370045
SSP2_500C_NoCC,BRA,CL,2070,269063.74599820003
SSP2_500C_NoCC,BRA,CL,2080,289744.87576763367
SSP2_500C_NoCC,BRA,CL,2090,290078.33172510716
SSP2_500C_NoCC,BRA,CL,2100,281866.9681695161
SSP2_500C_NoCC,BRA,CROP_FLW,2005,12975.112824857239
SSP2_500C_NoCC,BRA,CROP_FLW,2010,12384.924984931946
SSP2_500C_NoCC,BRA,CROP_FLW,2015,11803.745475253769
SSP2_500C_NoCC,BRA,CROP_FLW,2020,10950.003945655299
SSP2_500C_NoCC,BRA,CROP_FLW,2025,13705.421423209016
SSP2_500C_NoCC,BRA,CROP_FLW,2030,14495.261975114645
SSP2_500C_NoCC,BRA,CROP_FLW,2035,15820.666014569328
SSP2_500C_NoCC,BRA,CROP_FLW,2040,16888.54433600729
SSP2_500C_NoCC,BRA,CROP_FLW,2045,18399.5388648021
SSP2_500C_NoCC,BRA,CROP_FLW,2050,19434.66054402562
SSP2_500C_NoCC,BRA,CROP_FLW,2060,21475.053656426622
SSP2_500C_NoCC,BRA,CROP_FLW,2070,22499.242186482792
SSP2_500C_NoCC,BRA,CROP_FLW,2080,22615.549445189063
SSP2_500C_NoCC,BRA,CROP_FLW,2090,22667.98621706008
SSP2_500C_NoCC,BRA,CROP_FLW,2100,22688.08220235409
SSP2_500C_NoCC,BRA,GL,2005,295392.1370313279
SSP2_500C_NoCC,BRA,GL,2010,113530.02925683517
SSP2_500C_NoCC,BRA,GL,2015,112296.13237463553
SSP2_500C_NoCC,BRA,GL,2020,104798.97278862365
SSP2_500C_NoCC,BRA,GL,2025,128124.28058219563
SSP2_500C_NoCC,BRA,GL,2030,131578.6323061959
SSP2_500C_NoCC,BRA,GL,2035,140021.5399263397
SSP2_500C_NoCC,BRA,GL,2040,146132.03879170815
SSP2_500C_NoCC,BRA,GL,2045,154372.7585755618
SSP2_500C_NoCC,BRA,GL,2050,156041.24404871938
SSP2_500C_NoCC,BRA,GL,2060,133964.9192958596
SSP2_500C_NoCC,BRA,GL,2070,145290.1604288943
SSP2_500C_NoCC,BRA,GL,2080,145224.96584009632
SSP2_500C_NoCC,BRA,GL,2090,146493.2615832268
SSP2_500C_NoCC,BRA,GL,2100,148447.2786076956
SSP2_500C_NoCC,BRA,GRO,2005,17307.91849836407
SSP2_500C_NoCC,BRA,GRO,2010,18187.636557307284
SSP2_500C_NoCC,BRA,GRO,2015,18597.112456648447
SSP2_500C_NoCC,BRA,GRO,2020,17630.30445958561
SSP2_500C_NoCC,BRA,GRO,2025,18959.171811999327
SSP2_500C_NoCC,BRA,GRO,2030,22336.656044478925
SSP2_500C_NoCC,BRA,GRO,2035,24406.856994036578
SSP2_500C_NoCC,BRA,GRO,2040,24940.592786578694
SSP2_500C_NoCC,BRA,GRO,2045,24890.047201068304
SSP2_500C_NoCC,BRA,GRO,2050,22877.2200364288
SSP2_500C_NoCC,BRA,GRO,2060,12440.428375774136
SSP2_500C_NoCC,BRA,GRO,2070,6895.036217424508
SSP2_500C_NoCC,BRA,GRO,2080,5213.491437532741
SSP2_500C_NoCC,BRA,GRO,2090,4732.7823555175655
SSP2_500C_NoCC,BRA,GRO,2100,4584.792292061211
SSP2_500C_NoCC,BRA,OL,2005,10945.226209438306
SSP2_500C_NoCC,BRA,OL,2010,10945.226209438306
SSP2_500C_NoCC,BRA,OL,2015,10945.226209438306
SSP2_500C_NoCC,BRA,OL,2020,10945.226209438306
SSP2_500C_NoCC,BRA,OL,2025,10945.226209438306
SSP2_500C_NoCC,BRA,OL,2030,10945.226209438306
SSP2_500C_NoCC,BRA,OL,2035,10945.226209438306
SSP2_500C_NoCC,BRA,OL,2040,10945.226209438306
SSP2_500C_NoCC,BRA,OL,2045,10945.226209438306
SSP2_500C_NoCC,BRA,OL,2050,10945.226209438306
SSP2_500C_NoCC,BRA,OL,2060,10945.226209438306
SSP2_500C_NoCC,BRA,OL,2070,10945.226209438306
SSP2_500C_NoCC,BRA,OL,2080,10945.226209438306
SSP2_500C_NoCC,BRA,OL,2090,10945.226209438306
SSP2_500C_NoCC,BRA,OL,2100,10945.226209438306
SSP2_500C_NoCC,BRA,OTH_A,2005,11504.658913129037
SSP2_500C_NoCC,BRA,OTH_A,2010,11374.47985246874
SSP2_500C_NoCC,BRA,OTH_A,2015,8958.402823724793
SSP2_500C_NoCC,BRA,OTH_A,2020,8416.564928757178
SSP2_500C_NoCC,BRA,OTH_A,2025,8235.064692874523
SSP2_500C_NoCC,BRA,OTH_A,2030,8195.679015440248
SSP2_500C_NoCC,BRA,OTH_A,2035,8159.55125057669
SSP2_500C_NoCC,BRA,OTH_A,2040,8053.696182449002
SSP2_500C_NoCC,BRA,OTH_A,2045,7885.135147919652
SSP2_500C_NoCC,BRA,OTH_A,2050,7559.20839826885
SSP2_500C_NoCC,BRA,OTH_A,2060,5256.856019298344
SSP2_500C_NoCC,BRA,OTH_A,2070,3902.053107833145
SSP2_500C_NoCC,BRA,OTH_A,2080,3490.720752751564
SSP2_500C_NoCC,BRA,OTH_A,2090,3271.3889904166977
SSP2_500C_NoCC,BRA,OTH_A,2100,3086.3793044342196
SSP2_500C_NoCC,BRA,PAS,2005,195069.5253940325
SSP2_500C_NoCC,BRA,PAS,2010,195069.5253940325
SSP2_500C_NoCC,BRA,PAS,2015,195055.8270452703
SSP2_500C_NoCC,BRA,PAS,2020,216040.37778683408
SSP2_500C_NoCC,BRA,PAS,2025,150760.98583078294
SSP2_500C_NoCC,BRA,PAS,2030,133170.2176896188
SSP2_500C_NoCC,BRA,PAS,2035,103326.45496690593
SSP2_500C_NoCC,BRA,PAS,2040,80243.87762449784
SSP2_500C_NoCC,BRA,PAS,2045,49461.974361974935
SSP2_500C_NoCC,BRA,PAS,2050,32086.035095138253
SSP2_500C_NoCC,BRA,PAS,2060,27700.72988287405
SSP2_500C_NoCC,BRA,PAS,2070,25550.994238469124
SSP2_500C_NoCC,BRA,PAS,2080,24214.640430069623
SSP2_500C_NoCC,BRA,PAS,2090,23050.033059021225
SSP2_500C_NoCC,BRA,PAS,2100,22069.78023072087
SSP2_500C_NoCC,BRA,PDR,2005,4366.615315439931
SSP2_500C_NoCC,BRA,PDR,2010,3078.5608135628936
SSP2_500C_NoCC,BRA,PDR,2015,2119.6007410936145
SSP2_500C_NoCC,BRA,PDR,2020,2185.9771687516945
SSP2_500C_NoCC,BRA,PDR,2025,2602.734999851814
SSP2_500C_NoCC,BRA,PDR,2030,3212.466932296094
SSP2_500C_NoCC,BRA,PDR,2035,3917.002598595865
SSP2_500C_NoCC,BRA,PDR,2040,4670.383564279638
SSP2_500C_NoCC,BRA,PDR,2045,5596.242346465471
SSP2_500C_NoCC,BRA,PDR,2050,6397.390482787568
SSP2_500C_NoCC,BRA,PDR,2060,3388.3778931301513
SSP2_500C_NoCC,BRA,PDR,2070,2798.945783809942
SSP2_500C_NoCC,BRA,PDR,2080,2726.70206893968
SSP2_500C_NoCC,BRA,PDR,2090,2613.760978741753
SSP2_500C_NoCC,BRA,PDR,2100,2509.198544725155
SSP2_500C_NoCC,BRA,SL,2005,2413.4712622791376
SSP2_500C_NoCC,BRA,SL,2010,2776.3466368082436
SSP2_500C_NoCC,BRA,SL,2015,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2020,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2025,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2030,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2035,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2040,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2045,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2050,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2060,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2070,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2080,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2090,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2100,3085.2371873463
SSP2_500C_NoCC,CAN,wht,2005,16222.800431001455
SSP2_500C_NoCC,CAN,wht,2010,13323.264507079977
SSP2_500C_NoCC,CAN,wht,2015,14131.876228915413
SSP2_500C_NoCC,CAN,wht,2020,13320.286663437322
SSP2_500C_NoCC,CAN,wht,2025,12874.538435139586
SSP2_500C_NoCC,CAN,wht,2030,12836.647803108504
SSP2_500C_NoCC,CAN,wht,2035,12335.409911504372
SSP2_500C_NoCC,CAN,wht,2040,11850.41533491241
SSP2_500C_NoCC,CAN,wht,2045,11392.415589728076
SSP2_500C_NoCC,CAN,wht,2050,10679.715684649755
SSP2_500C_NoCC,CAN,wht,2060,8040.319964485095
SSP2_500C_NoCC,CAN,wht,2070,5069.559340956541
SSP2_500C_NoCC,CAN,wht,2080,3777.010321266489
SSP2_500C_NoCC,CAN,wht,2090,2999.3569073891085
SSP2_500C_NoCC,CAN,wht,2100,2472.9009500110747
SSP2_500C_NoCC,CAN,frs,2005,554934.0771501662
SSP2_500C_NoCC,CAN,frs,2010,556311.1800144255
SSP2_500C_NoCC,CAN,frs,2015,556540.3005147455
SSP2_500C_NoCC,CAN,frs,2020,556279.1640331909
SSP2_500C_NoCC,CAN,frs,2025,555692.0642623077
SSP2_500C_NoCC,CAN,frs,2030,559267.0199090985
SSP2_500C_NoCC,CAN,frs,2035,560007.8050547291
SSP2_500C_NoCC,CAN,frs,2040,560303.922212621
SSP2_500C_NoCC,CAN,frs,2045,551691.8166679216
