basin,country,year,Value
AMDA,AFG,2005,1559.8761696306924
AMDA,AFG,2010,1596.1667430372765
AMDA,AFG,2015,1520.8630918049814
AMDA,AFG,2020,1481.2913834306814
AMDA,AFG,2025,1552.9318653934624
AMDA,AFG,2030,1604.5558881478757
AMDA,AFG,2035,1823.2540594426166
AMDA,AFG,2040,2032.9974259418843
AMDA,AFG,2045,2168.5921623452477
AMDA,AFG,2050,2178.9336085228806
AMDA,AFG,2060,2659.904662481521
AMDA,AFG,2070,3519.2042916304226
AMDA,AFG,2080,4197.626276058708
AMDA,AFG,2090,4665.105050206065
AMDA,AFG,2100,4818.168555845373
CSEC,AFG,2005,628.958469148125
CSEC,AFG,2010,656.4959888458068
CSEC,AFG,2015,641.3915393601301
CSEC,AFG,2020,619.3620529001805
CSEC,AFG,2025,643.3870891894379
CSEC,AFG,2030,657.4877786406173
CSEC,AFG,2035,736.6374763663003
CSEC,AFG,2040,850.2975289444031
CSEC,AFG,2045,1009.6288528043715
CSEC,AFG,2050,1186.4402056532626
CSEC,AFG,2060,1611.8911505463439
CSEC,AFG,2070,2251.1116678868466
CSEC,AFG,2080,2437.953582744338
CSEC,AFG,2090,2342.7526742933633
CSEC,AFG,2100,2178.181684559549
FARA,AFG,2005,115.65765484182879
FARA,AFG,2010,122.21493820867465
FARA,AFG,2015,128.84808611531733
FARA,AFG,2020,122.43718861275445
FARA,AFG,2025,125.92984699634798
FARA,AFG,2030,121.72153452069676
FARA,AFG,2035,137.30693915679268
FARA,AFG,2040,152.02453406971998
FARA,AFG,2045,177.2065583122658
FARA,AFG,2050,212.60692359880693
FARA,AFG,2060,270.7159369565535
FARA,AFG,2070,297.04504924526225
FARA,AFG,2080,203.11373705717637
FARA,AFG,2090,151.9576023414633
FARA,AFG,2100,164.42404791311805
HELM,AFG,2005,872.2396563588476
HELM,AFG,2010,897.9522941449326
HELM,AFG,2015,883.6192022095997
HELM,AFG,2020,871.6189688969791
HELM,AFG,2025,932.5552806008353
HELM,AFG,2030,975.5814044865186
HELM,AFG,2035,1151.7108784865136
HELM,AFG,2040,1344.1454240413464
HELM,AFG,2045,1625.6423418876648
HELM,AFG,2050,2013.1763590645448
HELM,AFG,2060,3014.356129894094
HELM,AFG,2070,3733.201763899996
HELM,AFG,2080,3652.2971683002634
HELM,AFG,2090,3371.4857303498034
HELM,AFG,2100,3237.060125608513
INDU,AFG,2005,313.22255038843525
INDU,AFG,2010,324.9069456364524
INDU,AFG,2015,318.2265241459555
INDU,AFG,2020,304.87582482298853
INDU,AFG,2025,324.5228711241905
INDU,AFG,2030,325.08172176136134
INDU,AFG,2035,355.2418504311971
INDU,AFG,2040,375.2878137628453
INDU,AFG,2045,404.5018788323632
INDU,AFG,2050,432.53399100907086
INDU,AFG,2060,370.95701740248205
INDU,AFG,2070,489.7032251781751
INDU,AFG,2080,800.0543000048925
INDU,AFG,2090,1128.5619500871535
INDU,AFG,2100,1316.638810968293
