region,mode,year,kappa
BRA,region,2010,1.000
BRA,region,2020,1.000
BRA,region,2030,1.000
BRA,region,2040,1.000
BRA,region,2050,1.000
BRA,region,2060,1.000
BRA,region,2070,0.972
BRA,region,2080,0.972
BRA,region,2090,0.958
BRA,region,2100,0.958
BRA,basin,2010,1.000
BRA,basin,2020,1.000
BRA,basin,2030,0.985
BRA,basin,2040,0.970
BRA,basin,2050,0.956
BRA,basin,2060,0.956
BRA,basin,2070,0.956
BRA,basin,2080,0.956
BRA,basin,2090,0.942
BRA,basin,2100,0.902
CAN,region,2010,0.961
CAN,region,2020,0.492
CAN,region,2030,0.479
CAN,region,2040,0.433
CAN,region,2050,0.376
CAN,region,2060,0.356
CAN,region,2070,0.354
CAN,region,2080,0.351
CAN,region,2090,0.348
CAN,region,2100,0.345
CAN,basin,2010,0.903
CAN,basin,2020,0.778
CAN,basin,2030,0.760
CAN,basin,2040,0.752
CAN,basin,2050,0.744
CAN,basin,2060,0.738
CAN,basin,2070,0.738
CAN,basin,2080,0.735
CAN,basin,2090,0.733
CAN,basin,2100,0.739
CHN,region,2010,1.000
CHN,region,2020,1.000
CHN,region,2030,1.000
CHN,region,2040,1.000
CHN,region,2050,1.000
CHN,region,2060,1.000
CHN,region,2070,1.000
CHN,region,2080,1.000
CHN,region,2090,1.000
CHN,region,2100,1.000
CHN,basin,2010,1.000
CHN,basin,2020,1.000
CHN,basin,2030,1.000
CHN,basin,2040,1.000
CHN,basin,2050,0.654
CHN,basin,2060,0.654
CHN,basin,2070,0.372
CHN,basin,2080,0.372
CHN,basin,2090,0.372
CHN,basin,2100,0.372
CIS,region,2010,1.000
CIS,region,2020,0.910
CIS,region,2030,0.907
CIS,region,2040,0.859
CIS,region,2050,0.859
CIS,region,2060,0.859
CIS,region,2070,0.860
CIS,region,2080,0.861
CIS,region,2090,0.861
CIS,region,2100,0.861
CIS,basin,2010,0.939
CIS,basin,2020,0.733
CIS,basin,2030,0.677
CIS,basin,2040,0.669
CIS,basin,2050,0.671
CIS,basin,2060,0.671
CIS,basin,2070,0.660
CIS,basin,2080,0.656
CIS,basin,2090,0.654
CIS,basin,2100,0.652
IND,region,2010,1.000
IND,region,2020,1.000
IND,region,2030,1.000
IND,region,2040,1.000
IND,region,2050,1.000
IND,region,2060,1.000
IND,region,2070,1.000
IND,region,2080,0.982
IND,region,2090,0.982
IND,region,2100,0.982
IND,basin,2010,1.000
IND,basin,2020,1.000
IND,basin,2030,1.000
IND,basin,2040,1.000
IND,basin,2050,1.000
IND,basin,2060,1.000
IND,basin,2070,0.946
IND,basin,2080,0.896
IND,basin,2090,0.896
IND,basin,2100,0.896
JPN,region,2010,
JPN,region,2020,
JPN,region,2030,
JPN,region,2040,
JPN,region,2050,
JPN,region,2060,
JPN,region,2070,
JPN,region,2080,
JPN,region,2090,
JPN,region,2100,
JPN,basin,2010,
JPN,basin,2020,
JPN,basin,2030,
JPN,basin,2040,
JPN,basin,2050,
JPN,basin,2060,
JPN,basin,2070,
JPN,basin,2080,
JPN,basin,2090,
JPN,basin,2100,
TUR,region,2010,1.000
TUR,region,2020,1.000
TUR,region,2030,1.000
TUR,region,2040,1.000
TUR,region,2050,1.000
TUR,region,2060,1.000
TUR,region,2070,1.000
TUR,region,2080,1.000
TUR,region,2090,1.000
TUR,region,2100,0.963
TUR,basin,2010,1.000
TUR,basin,2020,1.000
TUR,basin,2030,1.000
TUR,basin,2040,1.000
TUR,basin,2050,1.000
TUR,basin,2060,1.000
TUR,basin,2070,1.000
TUR,basin,2080,1.000
TUR,basin,2090,1.000
TUR,basin,2100,1.000
USA,region,2010,1.000
USA,region,2020,0.984
USA,region,2030,0.954
USA,region,2040,0.938
USA,region,2050,0.938
USA,region,2060,0.938
USA,region,2070,0.938
USA,region,2080,0.938
USA,region,2090,0.938
USA,region,2100,0.938
USA,basin,2010,0.835
USA,basin,2020,0.798
USA,basin,2030,0.707
USA,basin,2040,0.718
USA,basin,2050,0.718
USA,basin,2060,0.786
USA,basin,2070,0.798
USA,basin,2080,0.798
USA,basin,2090,0.798
USA,basin,2100,0.798
XAF,region,2010,0.665
XAF,region,2020,0.697
XAF,region,2030,0.697
XAF,region,2040,0.719
XAF,region,2050,0.719
XAF,region,2060,0.719
XAF,region,2070,0.719
XAF,region,2080,0.719
XAF,region,2090,0.719
XAF,region,2100,0.744
XAF,basin,2010,0.792
XAF,basin,2020,0.591
XAF,basin,2030,0.572
XAF,basin,2040,0.312
XAF,basin,2050,0.318
XAF,basin,2060,0.318
XAF,basin,2070,0.315
XAF,basin,2080,0.329
XAF,basin,2090,0.476
XAF,basin,2100,0.564
XE25,region,2010,1.000
XE25,region,2020,0.996
XE25,region,2030,0.917
XE25,region,2040,0.908
XE25,region,2050,0.908
XE25,region,2060,0.906
