region,mode,year,kappa
BRA,region,2010,1.000
BRA,region,2020,0.968
BRA,region,2030,0.968
BRA,region,2040,0.968
BRA,region,2050,0.968
BRA,region,2060,0.968
BRA,region,2070,0.929
BRA,region,2080,0.929
BRA,region,2090,0.920
BRA,region,2100,0.920
BRA,basin,2010,1.000
BRA,basin,2020,1.000
BRA,basin,2030,0.989
BRA,basin,2040,0.978
BRA,basin,2050,0.967
BRA,basin,2060,0.957
BRA,basin,2070,0.936
BRA,basin,2080,0.907
BRA,basin,2090,0.880
BRA,basin,2100,0.829
CAN,region,2010,0.961
CAN,region,2020,0.493
CAN,region,2030,0.481
CAN,region,2040,0.434
CAN,region,2050,0.377
CAN,region,2060,0.357
CAN,region,2070,0.355
CAN,region,2080,0.352
CAN,region,2090,0.349
CAN,region,2100,0.347
CAN,basin,2010,0.904
CAN,basin,2020,0.779
CAN,basin,2030,0.761
CAN,basin,2040,0.753
CAN,basin,2050,0.745
CAN,basin,2060,0.739
CAN,basin,2070,0.738
CAN,basin,2080,0.735
CAN,basin,2090,0.734
CAN,basin,2100,0.739
CHN,region,2010,1.000
CHN,region,2020,0.971
CHN,region,2030,0.810
CHN,region,2040,0.810
CHN,region,2050,0.800
CHN,region,2060,0.800
CHN,region,2070,0.800
CHN,region,2080,0.800
CHN,region,2090,0.800
CHN,region,2100,0.800
CHN,basin,2010,0.970
CHN,basin,2020,0.954
CHN,basin,2030,0.954
CHN,basin,2040,0.954
CHN,basin,2050,0.926
CHN,basin,2060,0.926
CHN,basin,2070,0.906
CHN,basin,2080,0.892
CHN,basin,2090,0.892
CHN,basin,2100,0.892
CIS,region,2010,0.995
CIS,region,2020,0.917
CIS,region,2030,0.914
CIS,region,2040,0.849
CIS,region,2050,0.849
CIS,region,2060,0.848
CIS,region,2070,0.848
CIS,region,2080,0.849
CIS,region,2090,0.848
CIS,region,2100,0.848
CIS,basin,2010,0.944
CIS,basin,2020,0.759
CIS,basin,2030,0.715
CIS,basin,2040,0.709
CIS,basin,2050,0.710
CIS,basin,2060,0.706
CIS,basin,2070,0.691
CIS,basin,2080,0.684
CIS,basin,2090,0.681
CIS,basin,2100,0.679
IND,region,2010,1.000
IND,region,2020,1.000
IND,region,2030,1.000
IND,region,2040,1.000
IND,region,2050,1.000
IND,region,2060,1.000
IND,region,2070,1.000
IND,region,2080,0.987
IND,region,2090,0.987
IND,region,2100,0.987
IND,basin,2010,1.000
IND,basin,2020,1.000
IND,basin,2030,1.000
IND,basin,2040,1.000
IND,basin,2050,1.000
IND,basin,2060,1.000
IND,basin,2070,0.960
IND,basin,2080,0.922
IND,basin,2090,0.922
IND,basin,2100,0.922
JPN,region,2010,
JPN,region,2020,
JPN,region,2030,
JPN,region,2040,
JPN,region,2050,
JPN,region,2060,
JPN,region,2070,
JPN,region,2080,
JPN,region,2090,
JPN,region,2100,
JPN,basin,2010,
JPN,basin,2020,
JPN,basin,2030,
JPN,basin,2040,
JPN,basin,2050,
JPN,basin,2060,
JPN,basin,2070,
JPN,basin,2080,
JPN,basin,2090,
JPN,basin,2100,
TUR,region,2010,1.000
TUR,region,2020,1.000
TUR,region,2030,1.000
TUR,region,2040,1.000
TUR,region,2050,1.000
TUR,region,2060,1.000
TUR,region,2070,1.000
TUR,region,2080,1.000
TUR,region,2090,1.000
TUR,region,2100,0.963
TUR,basin,2010,1.000
TUR,basin,2020,1.000
TUR,basin,2030,1.000
TUR,basin,2040,1.000
TUR,basin,2050,1.000
TUR,basin,2060,1.000
TUR,basin,2070,1.000
TUR,basin,2080,1.000
TUR,basin,2090,1.000
TUR,basin,2100,1.000
USA,region,2010,0.835
USA,region,2020,0.752
USA,region,2030,0.663
USA,region,2040,0.642
USA,region,2050,0.634
USA,region,2060,0.632
USA,region,2070,0.630
USA,region,2080,0.630
USA,region,2090,0.630
USA,region,2100,0.630
USA,basin,2010,0.890
USA,basin,2020,0.855
USA,basin,2030,0.679
USA,basin,2040,0.645
USA,basin,2050,0.642
USA,basin,2060,0.694
USA,basin,2070,0.692
USA,basin,2080,0.684
USA,basin,2090,0.678
USA,basin,2100,0.678
XAF,region,2010,0.743
XAF,region,2020,0.772
XAF,region,2030,0.770
XAF,region,2040,0.785
XAF,region,2050,0.785
XAF,region,2060,0.785
XAF,region,2070,0.785
XAF,region,2080,0.785
XAF,region,2090,0.785
XAF,region,2100,0.807
XAF,basin,2010,0.876
XAF,basin,2020,0.747
XAF,basin,2030,0.731
XAF,basin,2040,0.582
XAF,basin,2050,0.587
XAF,basin,2060,0.579
XAF,basin,2070,0.574
XAF,basin,2080,0.563
XAF,basin,2090,0.607
XAF,basin,2100,0.649
XE25,region,2010,1.000
XE25,region,2020,0.997
XE25,region,2030,0.925
XE25,region,2040,0.916
XE25,region,2050,0.916
XE25,region,2060,0.914
XE25,region,2070,0.914
XE25,region,2080,0.914
XE25,region,2090,0.914
XE25,region,2100,0.913
XE25,basin,2010,0.993
XE25,basin,2020,0.979
XE25,basin,2030,0.958
XE25,basin,2040,0.957
XE25,basin,2050,0.951
XE25,basin,2060,0.953
XE25,basin,2070,0.940
XE25,basin,2080,0.924
XE25,basin,2090,0.916
XE25,basin,2100,0.916
XER,region,2010,1.000
XER,region,2020,1.000
XER,region,2030,1.000
XER,region,2040,1.000
XER,region,2050,1.000
XER,region,2060,1.000
XER,region,2070,1.000
XER,region,2080,1.000
XER,region,2090,1.000
XER,region,2100,1.000
XER,basin,2010,1.000
XER,basin,2020,0.929
XER,basin,2030,0.929
XER,basin,2040,0.929
XER,basin,2050,0.952
XER,basin,2060,0.975
XER,basin,2070,0.975
XER,basin,2080,0.975
XER,basin,2090,0.923
XER,basin,2100,0.923
XLM,region,2010,1.000
XLM,region,2020,0.615
XLM,region,2030,0.615
XLM,region,2040,0.615
XLM,region,2050,0.611
XLM,region,2060,0.595
XLM,region,2070,0.595
XLM,region,2080,0.591
XLM,region,2090,0.591
XLM,region,2100,0.591
XLM,basin,2010,0.962
XLM,basin,2020,0.688
XLM,basin,2030,0.582
XLM,basin,2040,0.517
XLM,basin,2050,0.514
XLM,basin,2060,0.477
XLM,basin,2070,0.423
XLM,basin,2080,0.371
XLM,basin,2090,0.358
XLM,basin,2100,0.301
XME,region,2010,0.883
XME,region,2020,0.738
XME,region,2030,0.738
XME,region,2040,0.738
XME,region,2050,0.738
XME,region,2060,0.738
XME,region,2070,0.738
XME,region,2080,0.738
XME,region,2090,0.649
XME,region,2100,0.649
XME,basin,2010,1.000
XME,basin,2020,0.882
XME,basin,2030,0.787
XME,basin,2040,0.646
XME,basin,2050,0.646
XME,basin,2060,0.360
XME,basin,2070,0.284
XME,basin,2080,0.228
XME,basin,2090,0.228
XME,basin,2100,0.228
XNF,region,2010,0.613
XNF,region,2020,0.414
XNF,region,2030,0.380
XNF,region,2040,0.385
XNF,region,2050,0.385
XNF,region,2060,0.385
XNF,region,2070,0.385
XNF,region,2080,0.385
XNF,region,2090,0.385
XNF,region,2100,0.433
XNF,basin,2010,0.859
XNF,basin,2020,0.716
XNF,basin,2030,0.471
XNF,basin,2040,0.451
XNF,basin,2050,0.445
XNF,basin,2060,0.526
XNF,basin,2070,0.564
XNF,basin,2080,0.582
XNF,basin,2090,0.607
XNF,basin,2100,0.598
XOC,region,2010,
XOC,region,2020,
XOC,region,2030,
XOC,region,2040,
XOC,region,2050,
XOC,region,2060,
XOC,region,2070,
XOC,region,2080,
XOC,region,2090,
XOC,region,2100,
XOC,basin,2010,
XOC,basin,2020,
XOC,basin,2030,
XOC,basin,2040,
XOC,basin,2050,
XOC,basin,2060,
XOC,basin,2070,
XOC,basin,2080,
XOC,basin,2090,
XOC,basin,2100,
XSA,region,2010,1.000
XSA,region,2020,1.000
XSA,region,2030,1.000
XSA,region,2040,1.000
XSA,region,2050,1.000
XSA,region,2060,1.000
XSA,region,2070,1.000
XSA,region,2080,1.000
XSA,region,2090,1.000
XSA,region,2100,1.000
XSA,basin,2010,1.000
XSA,basin,2020,0.886
XSA,basin,2030,0.886
XSA,basin,2040,0.784
XSA,basin,2050,0.693
XSA,basin,2060,0.693
XSA,basin,2070,0.602
XSA,basin,2080,0.633
XSA,basin,2090,0.575
XSA,basin,2100,0.575
XSE,region,2010,1.000
XSE,region,2020,0.987
XSE,region,2030,0.987
XSE,region,2040,0.987
XSE,region,2050,0.987
XSE,region,2060,0.987
XSE,region,2070,0.992
XSE,region,2080,0.988
XSE,region,2090,0.988
XSE,region,2100,0.988
XSE,basin,2010,1.000
XSE,basin,2020,0.996
XSE,basin,2030,0.969
XSE,basin,2040,0.939
XSE,basin,2050,0.928
XSE,basin,2060,0.925
XSE,basin,2070,0.882
XSE,basin,2080,0.865
XSE,basin,2090,0.859
XSE,basin,2100,0.855
GLOBAL,region,2010,0.988
GLOBAL,region,2020,0.956
GLOBAL,region,2030,0.951
GLOBAL,region,2040,0.946
GLOBAL,region,2050,0.943
GLOBAL,region,2060,0.941
GLOBAL,region,2070,0.941
GLOBAL,region,2080,0.941
GLOBAL,region,2090,0.941
GLOBAL,region,2100,0.941
GLOBAL,basin,2010,0.987
GLOBAL,basin,2020,0.964
GLOBAL,basin,2030,0.956
GLOBAL,basin,2040,0.949
GLOBAL,basin,2050,0.948
GLOBAL,basin,2060,0.948
GLOBAL,basin,2070,0.945
GLOBAL,basin,2080,0.942
GLOBAL,basin,2090,0.941
GLOBAL,basin,2100,0.940
