year,scope,region,mode,kurtosis
2010,global,ALL,region,5.943
2020,global,ALL,region,14.322
2030,global,ALL,region,42.545
2040,global,ALL,region,37.493
2050,global,ALL,region,30.208
2060,global,ALL,region,33.38
2070,global,ALL,region,29.756
2080,global,ALL,region,25.233
2090,global,ALL,region,27.882
2100,global,ALL,region,29.761
2010,global,ALL,basin,3.411
2020,global,ALL,basin,9.507
2030,global,ALL,basin,38.0
2040,global,ALL,basin,16.992
2050,global,ALL,basin,18.721
2060,global,ALL,basin,21.018
2070,global,ALL,basin,21.713
2080,global,ALL,basin,22.032
2090,global,ALL,basin,21.762
2100,global,ALL,basin,20.345
2010,regional,BRA,region,61.976
2010,regional,CAN,region,2.24
2010,regional,CHN,region,1.557
2010,regional,CIS,region,9.511
2010,regional,IND,region,1.104
2010,regional,JPN,region,
2010,regional,TUR,region,-0.58
2010,regional,USA,region,11.664
2010,regional,XAF,region,123.98
2010,regional,XE25,region,8.661
2010,regional,XER,region,-1.702
2010,regional,XLM,region,6.036
2010,regional,XME,region,0.728
2010,regional,XNF,region,78.837
2010,regional,XOC,region,
2010,regional,XSA,region,3.592
2010,regional,XSE,region,-0.061
2020,regional,BRA,region,-0.149
2020,regional,CAN,region,-0.261
2020,regional,CHN,region,-0.657
2020,regional,CIS,region,7.534
2020,regional,IND,region,3.416
2020,regional,JPN,region,
2020,regional,TUR,region,1.963
2020,regional,USA,region,108.957
2020,regional,XAF,region,-1.374
2020,regional,XE25,region,12.921
2020,regional,XER,region,4.031
2020,regional,XLM,region,0.72
2020,regional,XME,region,-0.07
2020,regional,XNF,region,-1.776
2020,regional,XOC,region,
2020,regional,XSA,region,-0.671
2020,regional,XSE,region,1.091
2030,regional,BRA,region,-0.589
2030,regional,CAN,region,2.128
2030,regional,CHN,region,27.032
2030,regional,CIS,region,38.221
2030,regional,IND,region,2.103
2030,regional,JPN,region,
2030,regional,TUR,region,0.12
2030,regional,USA,region,18.304
2030,regional,XAF,region,30.666
2030,regional,XE25,region,37.92
2030,regional,XER,region,-1.054
2030,regional,XLM,region,0.907
2030,regional,XME,region,-1.822
2030,regional,XNF,region,79.4
2030,regional,XOC,region,
2030,regional,XSA,region,0.881
2030,regional,XSE,region,8.512
2040,regional,BRA,region,1.259
2040,regional,CAN,region,0.439
2040,regional,CHN,region,11.959
2040,regional,CIS,region,-1.951
2040,regional,IND,region,1.089
2040,regional,JPN,region,
2040,regional,TUR,region,14.812
2040,regional,USA,region,15.463
2040,regional,XAF,region,1.724
2040,regional,XE25,region,50.481
2040,regional,XER,region,19.111
2040,regional,XLM,region,0.839
2040,regional,XME,region,1.35
2040,regional,XNF,region,12.867
2040,regional,XOC,region,
2040,regional,XSA,region,-1.986
2040,regional,XSE,region,3.595
2050,regional,BRA,region,2.237
2050,regional,CAN,region,-0.52
2050,regional,CHN,region,7.772
2050,regional,CIS,region,17.766
2050,regional,IND,region,13.671
2050,regional,JPN,region,
2050,regional,TUR,region,-0.687
2050,regional,USA,region,7.096
