year,basin_top5,basin_top10,basin_top20,region_top5,region_top10,region_top20
2010,0.30670947,0.57092625,0.8288022,0.27789086,0.55145067,0.7967091
2020,0.22673285,0.3992007,0.70675135,0.29559925,0.54175127,0.62332237
2030,0.35541543,0.47259763,0.5703043,0.3739839,0.48288655,0.5814559
2040,0.21643662,0.42137763,0.7153397,0.3194155,0.5168529,0.5736292
2050,0.19954295,0.38824534,0.7140536,0.23066382,0.45841372,0.7189558
2060,0.1915109,0.36942524,0.6965992,0.22940482,0.45739147,0.7121691
2070,0.1594236,0.30522346,0.5968232,0.11294668,0.22471678,0.4488302
2080,0.17231403,0.33897576,0.6669943,0.1277666,0.25448567,0.5087742
2090,0.21400657,0.42220545,0.7242984,0.20065059,0.40128505,0.7306505
2100,0.25308144,0.5003486,0.6922022,0.24094291,0.4813981,0.69337386
