year,scope,region,mode,moran_I
2010,regional,BRA,region,0.369
2010,regional,CAN,region,0.742
2010,regional,CHN,region,0.25
2010,regional,CIS,region,0.502
2010,regional,IND,region,0.416
2010,regional,JPN,region,
2010,regional,TUR,region,0.669
2010,regional,USA,region,0.412
2010,regional,XAF,region,0.668
2010,regional,XE25,region,0.464
2010,regional,XER,region,0.491
2010,regional,XLM,region,0.0
2010,regional,XME,region,0.525
2010,regional,XNF,region,-0.0
2010,regional,XOC,region,
2010,regional,XSA,region,0.239
2010,regional,XSE,region,0.389
2010,global,ALL,region,0.598
2020,regional,BRA,region,0.598
2020,regional,CAN,region,0.795
2020,regional,CHN,region,0.268
2020,regional,CIS,region,0.697
2020,regional,IND,region,0.407
2020,regional,JPN,region,
2020,regional,TUR,region,0.527
2020,regional,USA,region,0.081
2020,regional,XAF,region,0.706
2020,regional,XE25,region,0.457
2020,regional,XER,region,0.298
2020,regional,XLM,region,0.166
2020,regional,XME,region,0.44
2020,regional,XNF,region,0.564
2020,regional,XOC,region,
2020,regional,XSA,region,0.219
2020,regional,XSE,region,0.417
2020,global,ALL,region,0.582
2030,regional,BRA,region,0.669
2030,regional,CAN,region,0.602
2030,regional,CHN,region,-0.0
2030,regional,CIS,region,0.237
2030,regional,IND,region,0.474
2030,regional,JPN,region,
2030,regional,TUR,region,0.581
2030,regional,USA,region,0.403
2030,regional,XAF,region,0.331
2030,regional,XE25,region,0.545
2030,regional,XER,region,0.32
2030,regional,XLM,region,0.231
2030,regional,XME,region,0.434
2030,regional,XNF,region,0.026
2030,regional,XOC,region,
2030,regional,XSA,region,0.286
2030,regional,XSE,region,0.093
2030,global,ALL,region,0.441
2040,regional,BRA,region,0.582
2040,regional,CAN,region,0.583
2040,regional,CHN,region,-0.013
2040,regional,CIS,region,0.831
2040,regional,IND,region,0.449
2040,regional,JPN,region,
2040,regional,TUR,region,0.102
2040,regional,USA,region,0.284
2040,regional,XAF,region,0.418
2040,regional,XE25,region,0.099
2040,regional,XER,region,0.184
2040,regional,XLM,region,0.232
2040,regional,XME,region,0.324
2040,regional,XNF,region,0.265
2040,regional,XOC,region,
2040,regional,XSA,region,0.222
2040,regional,XSE,region,0.208
2040,global,ALL,region,0.448
2050,regional,BRA,region,0.494
2050,regional,CAN,region,0.623
2050,regional,CHN,region,0.092
2050,regional,CIS,region,0.248
2050,regional,IND,region,0.209
2050,regional,JPN,region,
2050,regional,TUR,region,0.415
2050,regional,USA,region,0.345
2050,regional,XAF,region,0.436
2050,regional,XE25,region,0.18
2050,regional,XER,region,0.587
2050,regional,XLM,region,
2050,regional,XME,region,0.435
2050,regional,XNF,region,0.297
2050,regional,XOC,region,
2050,regional,XSA,region,0.048
2050,regional,XSE,region,-0.0
2050,global,ALL,region,0.249
2060,regional,BRA,region,0.584
2060,regional,CAN,region,0.661
2060,regional,CHN,region,0.273
2060,regional,CIS,region,0.224
2060,regional,IND,region,0.198
2060,regional,JPN,region,
2060,regional,TUR,region,0.524
2060,regional,USA,region,0.338
2060,regional,XAF,region,0.461
2060,regional,XE25,region,0.222
2060,regional,XER,region,0.314
2060,regional,XLM,region,
2060,regional,XME,region,0.387
2060,regional,XNF,region,0.181
2060,regional,XOC,region,
2060,regional,XSA,region,0.163
2060,regional,XSE,region,-0.0
2060,global,ALL,region,0.255
2070,regional,BRA,region,0.75
2070,regional,CAN,region,0.57
2070,regional,CHN,region,0.312
2070,regional,CIS,region,0.229
2070,regional,IND,region,0.186
2070,regional,JPN,region,
2070,regional,TUR,region,0.641
2070,regional,USA,region,0.385
2070,regional,XAF,region,0.445
2070,regional,XE25,region,0.168
2070,regional,XER,region,0.388
2070,regional,XLM,region,
2070,regional,XME,region,0.486
2070,regional,XNF,region,
2070,regional,XOC,region,
2070,regional,XSA,region,0.174
2070,regional,XSE,region,0.0
2070,global,ALL,region,0.267
2080,regional,BRA,region,0.635
2080,regional,CAN,region,0.44
2080,regional,CHN,region,-0.0
2080,regional,CIS,region,0.22
2080,regional,IND,region,0.144
2080,regional,JPN,region,
2080,regional,TUR,region,0.669
2080,regional,USA,region,0.219
2080,regional,XAF,region,0.281
2080,regional,XE25,region,0.125
2080,regional,XER,region,0.276
2080,regional,XLM,region,-0.0
2080,regional,XME,region,0.213
2080,regional,XNF,region,-0.0
2080,regional,XOC,region,
2080,regional,XSA,region,0.017
2080,regional,XSE,region,0.003
2080,global,ALL,region,0.346
2090,regional,BRA,region,0.553
2090,regional,CAN,region,0.394
2090,regional,CHN,region,
2090,regional,CIS,region,0.162
2090,regional,IND,region,0.279
2090,regional,JPN,region,
2090,regional,TUR,region,0.418
2090,regional,USA,region,0.142
2090,regional,XAF,region,0.413
2090,regional,XE25,region,0.218
2090,regional,XER,region,0.095
