year,scope,region,mode,moran_I
2010,global,ALL,region,0.608
2020,global,ALL,region,0.562
2030,global,ALL,region,0.455
2040,global,ALL,region,0.425
2050,global,ALL,region,0.346
2060,global,ALL,region,0.409
2070,global,ALL,region,0.486
2080,global,ALL,region,0.424
2090,global,ALL,region,0.375
2100,global,ALL,region,0.34
2010,global,ALL,basin,0.479
2020,global,ALL,basin,0.437
2030,global,ALL,basin,0.485
2040,global,ALL,basin,0.514
2050,global,ALL,basin,0.442
2060,global,ALL,basin,0.443
2070,global,ALL,basin,0.511
2080,global,ALL,basin,0.457
2090,global,ALL,basin,0.402
2100,global,ALL,basin,0.383
2010,regional,BRA,region,0.415
2010,regional,CAN,region,0.749
2010,regional,CHN,region,0.514
2010,regional,CIS,region,0.71
2010,regional,IND,region,0.435
2010,regional,JPN,region,0.39
2010,regional,TUR,region,0.556
2010,regional,USA,region,0.625
2010,regional,XAF,region,0.559
2010,regional,XE25,region,0.5
2010,regional,XER,region,0.613
2010,regional,XLM,region,0.541
2010,regional,XME,region,0.815
2010,regional,XNF,region,0.473
2010,regional,XOC,region,0.809
2010,regional,XSA,region,0.385
2010,regional,XSE,region,0.363
2020,regional,BRA,region,0.584
2020,regional,CAN,region,0.799
2020,regional,CHN,region,0.47
2020,regional,CIS,region,0.781
2020,regional,IND,region,0.478
2020,regional,JPN,region,0.513
2020,regional,TUR,region,0.463
2020,regional,USA,region,0.505
2020,regional,XAF,region,0.588
2020,regional,XE25,region,0.535
2020,regional,XER,region,0.464
2020,regional,XLM,region,0.581
2020,regional,XME,region,0.649
2020,regional,XNF,region,0.306
2020,regional,XOC,region,0.618
2020,regional,XSA,region,0.581
2020,regional,XSE,region,0.394
2030,regional,BRA,region,0.48
2030,regional,CAN,region,0.623
2030,regional,CHN,region,0.288
2030,regional,CIS,region,0.332
2030,regional,IND,region,0.395
2030,regional,JPN,region,0.354
2030,regional,TUR,region,0.519
2030,regional,USA,region,0.534
2030,regional,XAF,region,0.379
2030,regional,XE25,region,0.441
2030,regional,XER,region,0.534
2030,regional,XLM,region,0.495
2030,regional,XME,region,0.543
2030,regional,XNF,region,0.35
2030,regional,XOC,region,0.53
2030,regional,XSA,region,0.548
2030,regional,XSE,region,0.271
2040,regional,BRA,region,0.449
2040,regional,CAN,region,0.572
2040,regional,CHN,region,0.461
2040,regional,CIS,region,0.719
2040,regional,IND,region,0.332
2040,regional,JPN,region,0.348
2040,regional,TUR,region,0.253
2040,regional,USA,region,0.36
2040,regional,XAF,region,0.591
2040,regional,XE25,region,0.172
2040,regional,XER,region,0.247
2040,regional,XLM,region,0.314
2040,regional,XME,region,0.512
2040,regional,XNF,region,0.184
